"id","title","category","framework_mapping","component","data_flow","asset","threat_actor","preconditions","attack_path","impact","likelihood","severity","existing_controls","gaps","residual_risk","detection","tests","evidence","owner","priority","cure53_relevance"
"T-PRV-07","Non-repudiation gap / push-token correlation across providers","LINDDUN Non-repudiation + Linking","LINDDUN","functions/src/voipPush.ts:79-104, agentNotifications.ts:551-562","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","Stable pairedDeviceId/connection_id/push tokens flow to APNs+FCM and stored in queue docs; a processor with cross-service visibility (or BurnBar) links a device across sessions and ties call events to a user; queue timestamps prove a call was attempted","Low","Medium","Low","Tokens rotate on reinstall; per-user scoping","Identifiers long-lived; no rotation of connectionId correlator","Low","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/voipPush.ts:79-104, agentNotifications.ts:551-562","Backend (Privacy)","P3 (defense-in-depth)","Low"
"T-PTR-05","TOFU first-pairing window on controller key when gate force-disabled","STRIDE:Spoofing; T-TR","STRIDE","ControllerKeyPinStore","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","First-ever controller key pinned unconfirmed (ControllerKeyPinStore.swift:199-212). If ControllerKeyPinEnforcementFlag is overridden off via UserDefaults (:94), a relay-supplied key is silently trusted on first contact.","Low","Low","Low","Gate default ON requires operator safety-code confirmation before admission (PinResult.admits :139-148); mismatch on an established pin always refused.","Secure default can be flipped off by a UserDefaults/MDM override.","First-contact key poisoning only when the secure-default gate is overridden off.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","ControllerKeyPinStore","Identity/Pairing","P3 (defense-in-depth)","Low"
"T-PTR-06","Client-writable cloud_vault_key_wrappers lacks generation-monotonicity / rotation-job binding in rules","STRIDE:Tampering/Elevation","STRIDE","firestore.rules cloud_vault_key_wrappers","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","Stolen-session owner writes extra wrappers; rule (firestore.rules:2230-2253) only requires trusted target+source and current vaultKeyID match, not origin from rotateCloudVaultKey nor advancing vaultGeneration.","Low","Low","Low","Rotation-path wrappers are Admin-SDK-written out-of-band; wrapper writes bounded by matchesCurrentVaultKey and trusted-device existence.","No binding to a rotation job / generation advance at the rules layer.","Limited — cannot elevate trust; bounded by current-key match.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","firestore.rules cloud_vault_key_wrappers","Identity/Pairing","P3 (defense-in-depth)","Low"
"T-SC-05","xcframework lacks rebuild-parity gate","STRIDE:Tampering / SSDF PW.4 / SLSA","STRIDE; SSDF; SLSA","iroh-xcframework.yml:63-79","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","If Vendor/OpenBurnBarIroh.xcframework ever became committed, a tampered binary would not be diff-checked unlike the AAR.","Low","Low","Low","Currently gitignored/built-fresh in release (git check-ignore=IGNORED).","Asymmetric control vs AAR; no guard if vendoring policy changes.","Low","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","iroh-xcframework.yml:63-79","CI/CD","P3 (defense-in-depth)","Low"
"T-SC-07","firebase.json predeploy runs arbitrary npm build with deploy creds","STRIDE:Tampering / SSDF PW.6","STRIDE; SSDF","firebase.json:5-7,30-32,309","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Malicious build/verify script or compromised devDependency executes in the GCP-authenticated deploy job.","Low","Low","Low","Deploy from signed tag only; npm ci from committed lockfile; least-priv token.","Build runs with deploy credentials present in env.","Low","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","firebase.json:5-7,30-32,309","CI/CD","P3 (defense-in-depth)","Low"
"T-SC-09","workflow_run runs in trusted context off external workflow success","STRIDE:Elevation / SSDF PO.3","STRIDE; SSDF","supply-chain-provenance.yml:11-14,23-25,48-54","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","workflow_run job gets repo secrets + id-token/attestations:write; gated only on conclusion==success && head_branch starts v.","Low","Low","Low","Regenerates SBOM from source, does not execute downloaded artifacts; tag-prefix guard.","Tag-prefix gate is weak but acceptable given no artifact execution.","Low","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","supply-chain-provenance.yml:11-14,23-25,48-54","CI/CD","P3 (defense-in-depth)","Low"
"T-SC-10","Agentic droid exec --skip-permissions-unsafe in CI","Agentic:tool-permission-bypass / SSDF PW.6","Agentic; SSDF","droid-wiki-refresh.yml:34-37","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Autonomous agent runs unattended with skipped tool-permission prompts on push-to-main.","Low","Low","Low","No write token (default read perms), continue-on-error, refuses installers :24-25.","No explicit top-level permissions block on this workflow.","Low","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","droid-wiki-refresh.yml:34-37","CI/CD","P3 (defense-in-depth)","Low"
"T-TOOL-08","Path-based deny rules (/admin,/billing) use heuristic window-title regex","STRIDE Tampering / scope bypass","STRIDE","ComputerUseDenyRegistry builtInRules","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","Rules at :165-177 rely on the URL path appearing in the window title; SPA routes or titles omitting the path evade them.","Low","Medium","Low","file://, loopback, metadata, OAuth denies are urlPrefix-based and robust","Path denies are heuristic","Low","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","ComputerUseDenyRegistry builtInRules","AgentLens (CLIBridge/ComputerUse)","P3 (defense-in-depth)","Low"
"T-TOOL-09","Local grantDesktopControl bypasses the signed apply() admission path","STRIDE Elevation (local)","STRIDE","ChatSessionController.grantDesktopControl","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","grantDesktopControl (:358-380) builds and activates a grant directly, skipping AgentCapabilityGrantStore.apply() checks.","Low","Medium","Low","Only reachable from local Mac UI (ChatPanelHeader.swift:387) which first calls DesktopGrantLocalAuthenticator.authenticateIfNeeded (fail-closed, throws)","No defense-in-depth inside grantDesktopControl itself; relies on caller to local-auth","Low — local operator is the trust root","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","ChatSessionController.grantDesktopControl","AgentLens (CLIBridge/ComputerUse)","P3 (defense-in-depth)","Low"
"T-TOOL-10","shell_run sandbox permits general reads outside the curated deny list","STRIDE Information Disclosure","STRIDE","OpenAICompatibleChatGatewayClient.restrictedShellSandboxProfile","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","(allow default) (:723) after targeted (deny file-read*) means sensitive files not in the hand-curated list (:672-698) remain readable by a prompt-injected shell_run.","Low","Medium","Low","(deny network*) limits exfil; secret stores + app state explicitly denied","Deny-list rather than allow-list for reads","Low","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","OpenAICompatibleChatGatewayClient.restrictedShellSandboxProfile","AgentLens (CLIBridge/ComputerUse)","P3 (defense-in-depth)","Low"
"T-TRN-07","Production E2E transport on iroh 1.0.0-rc.0 release candidate","STRIDE:Tampering/supply-chain","STRIDE","openburnbar-iroh Cargo deps","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","Pre-GA iroh/iroh-services pinned to =1.0.0-rc.0 (Cargo.toml:20-29) may carry unpatched QUIC/relay/crypto bugs","Low","Low","Low","exact-version pins prevent silent drift; dependabot present","shipping production E2E transport on a release candidate, not a stable line","latent upstream iroh protocol/crypto bug not yet found/fixed","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","openburnbar-iroh Cargo deps","Transport (iroh)","P3 (defense-in-depth)","Low"
"T-ATT-07","Legacy content-type denylist incomplete and largely dead","STRIDE Tampering; CWE-183/434","STRIDE; CWE-183","assertSafeAttachmentContentType:200-215","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Denylist (not allowlist) misses types; sealed path forces octet-stream so list applies only to disabled legacy write path.","Informational","Medium","Info","Sealed-only writes","Defense-in-depth uses denylist.","Minimal while legacy writes disabled.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","assertSafeAttachmentContentType:200-215","Backend + Media","P4 (doc/assumption)","Low"
"T-AZ-08","Unauthenticated public HTTP endpoints","STRIDE:InformationDisclosure / OWASP-API2","STRIDE; API2","routerRundown.ts:1125 latestRouterRundown; health.ts:47 healthLive","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Anonymous GET","Informational","Low","Info","Intentional public pricing/health data; maxInstances cap is only throttle","No per-IP rate limit","Cost/DoS only; no tenant data exposed (payload scope verified public)","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","routerRundown.ts:1125 latestRouterRundown; health.ts:47 healthLive","Backend (Functions/Rules)","P4 (doc/assumption)","Low"
"T-CRY-04","Pinned public-key equality is non-constant-time","STRIDE:Spoofing (key confusion)","STRIDE","HermesRelayAuthenticatedRequestOpener","Phone<->Cloud<->Mac sealed relay/gateway","Relay & gateway message payloads","Network attacker / malicious or compromised relay","On-path network position or control of a relay/gateway lane","samePublicKey decodes base64 and uses Data == (HermesRelayAuthenticatedRequest.swift:309-315).","Informational","Medium","Info","Compared values are PUBLIC keys, not secrets; AEAD tag is the real auth gate.","None material.","Negligible; recorded for completeness, not a real finding.","Relay version telemetry; HPKE open-failure metrics; downgrade-rate alarm (missing)","See security-test-plan.md (T-CRY); automated regression recommended","HermesRelayAuthenticatedRequestOpener","Crypto/Core (OpenBurnBarCore)","P4 (doc/assumption)","Low"
"T-DMN-08","HPKE AEAD AAD intentionally empty (context binding via HPKE info only)","STRIDE:Tampering","STRIDE","RemoteUnlockCredentialEnvelopeCrypto.swift:5","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","AEAD associated data fixed empty for Android Tink interop; context relies on HPKE info key-schedule binding + Ed25519 authority hash over ciphertext+info.","Informational","Medium","Info","info mismatch rejected pre-decrypt (:103); authority signature covers both fields.","None material — info is bound into the HPKE key schedule.","Low","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","RemoteUnlockCredentialEnvelopeCrypto.swift:5","Daemon/Core","P4 (doc/assumption)","Low"
"T-GW-04","Entitlement read fired detached before client-doc validation","STRIDE:DoS (wasted read)","STRIDE","resolveGatewayGrant (callables/hermesGateway.ts:823)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Token index pointing at a uid triggers an entitlement read even when the client is later found revoked.","Informational","Medium","Info","Revocation still 401s at :829; entitlement result awaited at :857","Minor wasted Firestore read on revoked tokens","Negligible; no security impact","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","resolveGatewayGrant (callables/hermesGateway.ts:823)","Backend (Functions)","P4 (doc/assumption)","Low"
"T-GW-06","Stale-token index deletion is best-effort/racy","STRIDE:Spoofing / availability","STRIDE","resolveGatewayGrant (callables/hermesGateway.ts:831-836)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Concurrent rotation could leave a dangling token_index entry briefly.","Informational","Medium","Info","client-doc tokenHash check :831 is authoritative; stale index never authorizes","None","None","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","resolveGatewayGrant (callables/hermesGateway.ts:831-836)","Backend (Functions)","P4 (doc/assumption)","Low"
"T-GW-07","Non-constant-time tokenHash !== comparison","STRIDE:Information disclosure (timing)","STRIDE","resolveGatewayGrant (callables/hermesGateway.ts:831)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Plain string !== on sha256 hex; theoretically a timing oracle.","Informational","Medium","Info","Index lookup already keyed on attacker-known hash; both sides are sha256 hex; not a token-recovery vector","Cosmetic — could use timingSafeEqual","None material","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","resolveGatewayGrant (callables/hermesGateway.ts:831)","Backend (Functions)","P4 (doc/assumption)","Low"
"T-IOS-10","No jailbreak/runtime-integrity assumption stated or enforced","Tampering (MASVS-RESILIENCE-1)","MASVS; ASVS","(absence) no jailbreak/integrity checks in OpenBurnBarMobile/","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","On a jailbroken device Keychain ACLs and file protection can be bypassed; all keys/data become reachable","Informational","Medium","Info","None on-device (App Attest is server-side anti-fraud)","No jailbreak detection/anti-tamper; assumption undocumented","Determined attacker with jailbroken target gets full local access (accepted-risk class)","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","(absence) no jailbreak/integrity checks in OpenBurnBarMobile/","Mobile-iOS","P4 (doc/assumption)","Low"
